component,explained_var,cumulative_var
1,0.3446563998642692,0.3446563998642692
2,0.04641789102632465,0.39107429089059387
3,0.036831381334889064,0.4279056722254829
4,0.034628316511470504,0.46253398873695345
5,0.02644329085014065,0.4889772795870941
6,0.026419379541262195,0.5153966591283563
7,0.026411830063914427,0.5418084891922708
8,0.02638871311827494,0.5681972023105457
9,0.026368191299146797,0.5945653936096925
10,0.02635272938411976,0.6209181229938123
11,0.02634683414229925,0.6472649571361115
12,0.02633954028074018,0.6736044974168517
13,0.026325632013033395,0.6999301294298851
14,0.026294231358257838,0.7262243607881429
15,0.02629064938606262,0.7525150101742055
16,0.026276931978519744,0.7787919421527253
17,0.026254064126442454,0.8050460062791678
18,0.02622745261765809,0.8312734588968259
19,0.026218521831204954,0.8574919807280309
20,0.02620897417430868,0.8837009549023396
21,0.0262075330652453,0.9099084879675848
22,0.016801446283692,0.9267099342512768
23,0.012753635616115035,0.9394635698673919
24,0.01142530694798404,0.9508888768153759
25,0.007427051195276402,0.9583159280106524
26,0.006316539794740567,0.9646324678053929
27,0.00530299621786245,0.9699354640232554
28,0.005077003755480639,0.975012467778736
29,0.004597351642112612,0.9796098194208486
30,0.003792923027774269,0.9834027424486228
31,0.0033553770760951307,0.9867581195247179
32,0.0030715650563813888,0.9898296845810993
33,0.002681259551638565,0.9925109441327379
34,0.002562307680852287,0.9950732518135902
35,0.0019471166970732741,0.9970203685106634
36,0.0016492590481328537,0.9986696275587963
37,0.0011099114495843447,0.9997795390083807
38,0.00022046099161926038,0.9999999999999999
